Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,32,68,68,34.3,9.0,17.1,.525,2.1,4.9,.417,6.9,12.1,.569,.585,3.7,4.2,.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7
2,James Harden,34,72,72,34.3,4.9,11.4,.428,2.6,6.8,.381,2.3,4.6,.497,.541,4.2,4.8,.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6
3,Paul George,33,74,74,33.8,7.9,16.7,.471,3.3,7.9,.413,4.6,8.8,.523,.569,3.6,3.9,.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6
4,Ivica Zubac,26,68,68,26.4,5.0,7.6,.649,0.0,0.0,,5.0,7.6,.649,.649,1.8,2.4,.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7
5,Norman Powell,30,76,3,26.2,4.9,10.1,.486,2.2,5.1,.435,2.7,5.1,.536,.594,1.9,2.3,.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9
6,Terance Mann,27,75,71,25.0,3.4,6.6,.515,0.9,2.7,.348,2.4,3.9,.633,.587,1.1,1.3,.832,1.2,2.2,3.4,1.6,0.6,0.2,0.6,1.9,8.8
7,Robert Covington,33,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
8,Russell Westbrook,35,68,11,22.5,4.4,9.8,.454,0.6,2.3,.273,3.8,7.5,.509,.486,1.6,2.4,.688,1.4,3.7,5.0,4.5,1.1,0.3,2.1,1.8,11.1
9,Amir Coffey,26,70,13,20.9,2.4,5.0,.472,1.0,2.6,.380,1.4,2.4,.571,.571,0.9,1.0,.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6
10,Nicolas Batum,35,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
11,Daniel Theis,31,59,3,17.1,2.6,4.9,.536,0.4,1.2,.371,2.2,3.7,.589,.581,0.6,0.8,.760,1.4,2.7,4.1,1.0,0.4,0.9,0.7,2.1,6.3
12,KJ Martin,23,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0
13,P.J. Tucker,38,28,7,15.0,0.6,1.6,.356,0.4,1.1,.367,0.2,0.5,.333,.478,0.1,0.1,1.000,1.0,1.6,2.5,0.6,0.5,0.2,0.2,1.6,1.6
14,Mason Plumlee,33,46,11,14.7,1.9,3.3,.569,0.0,0.1,.000,1.9,3.2,.592,.569,1.5,2.2,.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3
15,Bones Hyland,23,37,5,14.6,2.6,6.8,.386,1.2,3.6,.326,1.4,3.1,.457,.474,0.5,0.6,.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9
16,Brandon Boston Jr.,22,32,0,10.8,2.0,5.0,.404,0.4,1.6,.269,1.6,3.4,.468,.447,0.7,1.0,.697,0.6,1.0,1.6,0.4,0.3,0.3,0.8,1.3,5.2
17,Kobe Brown,24,44,0,9.0,0.8,2.0,.411,0.3,1.1,.292,0.5,1.0,.548,.489,0.0,0.0,.500,0.5,1.0,1.4,0.6,0.3,0.1,0.2,1.1,2.0
18,Xavier Moon,29,14,1,8.5,1.1,3.3,.326,0.1,1.2,.118,0.9,2.1,.448,.348,0.1,0.1,.500,0.6,0.7,1.3,1.5,0.2,0.2,0.4,0.6,2.4
19,Moussa Diabaté,22,11,0,5.8,0.9,1.7,.526,0.0,0.0,,0.9,1.7,.526,.526,0.8,1.3,.643,1.4,0.8,2.2,0.4,0.5,0.1,0.2,0.4,2.6
20,Joshua Primo,21,2,0,5.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.5,2.0,0.0,1.0
21,Jordan Miller,24,8,0,3.5,0.6,1.1,.556,0.1,0.3,.500,0.5,0.9,.571,.611,0.3,0.3,1.000,0.4,0.3,0.6,0.0,0.0,0.0,0.1,0.3,1.6
