Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lauri Markkanen,26,55,55,33.1,7.8,16.2,.480,3.2,8.0,.399,4.6,8.2,.559,.578,4.5,5.0,.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2
2,Jordan Clarkson,31,55,19,30.6,6.1,14.8,.413,1.7,5.6,.294,4.5,9.2,.485,.469,3.2,3.7,.881,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,17.1
3,John Collins,26,68,66,28.0,5.8,11.0,.532,1.3,3.4,.371,4.6,7.6,.605,.590,2.2,2.7,.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1
4,Keyonte George,20,75,44,27.0,4.3,10.9,.391,2.0,5.9,.334,2.3,5.0,.459,.482,2.5,3.0,.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0
5,Collin Sexton,25,78,51,26.6,6.5,13.3,.487,1.6,4.2,.394,4.8,9.1,.530,.549,4.1,4.7,.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,18.7
6,Darius Bazley,23,6,0,23.7,3.0,4.8,.621,0.3,1.3,.250,2.7,3.5,.762,.655,1.7,2.0,.833,1.3,3.2,4.5,0.8,1.0,1.2,1.2,0.5,8.0
7,Walker Kessler,22,64,22,23.3,3.6,5.5,.654,0.1,0.3,.211,3.5,5.2,.680,.660,0.9,1.5,.602,2.6,4.9,7.5,0.9,0.5,2.4,1.0,2.1,8.1
8,Simone Fontecchio,28,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9
9,Kenneth Lofton Jr.,21,4,0,22.8,5.3,8.8,.600,1.0,3.0,.333,4.3,5.8,.739,.657,2.3,2.8,.818,2.5,2.5,5.0,4.8,0.8,0.5,1.5,2.3,13.8
10,Taylor Hendricks,20,40,23,21.4,2.7,6.0,.450,1.3,3.5,.379,1.4,2.5,.550,.560,0.6,0.7,.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3
11,Kelly Olynyk,32,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
12,Talen Horton-Tucker,23,51,11,19.8,3.6,9.1,.396,1.2,3.6,.330,2.4,5.5,.438,.460,1.7,2.1,.807,0.4,2.0,2.4,3.5,0.9,0.4,1.3,1.8,10.1
13,Ochai Agbaji,23,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
14,Kris Dunn,29,66,32,18.9,2.2,4.7,.470,0.6,1.7,.369,1.6,3.1,.525,.535,0.3,0.5,.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4
15,Johnny Juzang,22,20,5,18.6,2.6,5.5,.464,1.6,3.9,.416,1.0,1.7,.576,.609,0.5,0.7,.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5,7.2
16,Brice Sensabaugh,20,32,11,18.3,2.7,6.8,.390,1.1,3.6,.296,1.6,3.2,.495,.468,1.2,1.3,.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5
17,Micah Potter,25,16,0,11.6,1.2,2.5,.475,0.6,1.3,.429,0.6,1.2,.526,.588,0.4,0.5,.750,0.6,2.1,2.7,0.4,0.3,0.4,0.3,0.9,3.3
18,Omer Yurtseven,25,48,12,11.4,2.1,3.8,.538,0.1,0.5,.208,2.0,3.3,.588,.552,0.4,0.6,.679,1.5,2.8,4.3,0.6,0.2,0.4,0.8,1.1,4.6
19,Jason Preston,24,7,0,10.1,0.9,2.7,.316,0.0,0.4,.000,0.9,2.3,.375,.316,0.0,0.0,,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4,1.7
20,Kira Lewis Jr.,22,12,0,9.9,1.5,3.3,.450,0.2,1.1,.154,1.3,2.3,.593,.475,0.6,0.8,.778,0.4,0.6,1.0,1.6,0.3,0.1,0.5,0.3,3.8
21,Luka Šamanić,24,43,7,9.4,1.4,3.7,.380,0.3,1.5,.203,1.1,2.2,.500,.421,1.0,1.3,.786,0.5,1.9,2.4,0.4,0.1,0.2,0.7,0.7,4.1
