Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,De'Aaron Fox,26,74,74,35.9,9.7,20.9,.465,2.9,7.8,.369,6.8,13.1,.522,.534,4.2,5.7,.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6
2,Domantas Sabonis,27,82,82,35.7,7.7,13.0,.594,0.4,1.1,.379,7.3,12.0,.613,.609,3.6,5.1,.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3.0,19.4
3,Keegan Murray,23,77,77,33.6,5.8,12.7,.454,2.4,6.6,.358,3.4,6.0,.560,.548,1.3,1.6,.831,1.4,4.1,5.5,1.7,1.0,0.8,0.8,2.7,15.2
4,Harrison Barnes,31,82,82,29.0,4.2,8.9,.474,1.8,4.7,.387,2.4,4.2,.571,.576,1.9,2.4,.801,0.8,2.2,3.0,1.2,0.7,0.1,0.7,1.2,12.2
5,Malik Monk,25,72,0,26.0,5.5,12.4,.443,2.1,5.9,.350,3.4,6.5,.528,.526,2.4,2.8,.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4
6,Kevin Huerter,25,64,59,24.4,3.9,8.8,.443,1.9,5.3,.361,2.0,3.4,.571,.553,0.6,0.7,.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2
7,Trey Lyles,28,58,0,20.0,2.5,5.5,.445,1.4,3.8,.384,1.0,1.8,.578,.576,0.8,1.2,.700,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2
8,Keon Ellis,24,57,21,17.2,1.9,4.1,.461,1.2,2.9,.417,0.6,1.1,.578,.612,0.5,0.6,.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4
9,Davion Mitchell,25,72,4,15.3,2.0,4.5,.452,0.8,2.2,.361,1.2,2.3,.539,.540,0.4,0.6,.714,0.3,1.1,1.3,1.9,0.2,0.0,0.6,1.2,5.3
10,Sasha Vezenkov,28,42,0,12.2,2.0,4.5,.440,1.1,2.9,.375,0.9,1.7,.549,.558,0.3,0.4,.800,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1.0,5.4
11,Chris Duarte,26,59,11,12.2,1.4,3.6,.381,0.7,2.2,.346,0.6,1.4,.434,.486,0.4,0.6,.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.9
12,Alex Len,30,48,0,9.3,1.0,1.7,.617,0.0,0.1,.000,1.0,1.6,.641,.617,0.4,0.7,.588,1.0,1.7,2.7,1.0,0.2,0.7,0.6,1.4,2.5
13,JaVale McGee,36,46,0,7.4,1.7,2.9,.598,0.0,0.2,.143,1.7,2.7,.624,.602,0.6,1.0,.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1.0,4.0
14,Colby Jones,21,30,0,6.4,0.9,2.4,.394,0.1,0.7,.091,0.9,1.6,.531,.408,0.2,0.4,.545,0.6,0.8,1.3,0.7,0.2,0.2,0.3,1.0,2.1
15,Mason Jones,25,5,0,5.6,0.4,1.6,.250,0.4,1.4,.286,0.0,0.2,.000,.375,0.2,0.4,.500,0.2,0.8,1.0,1.0,0.2,0.0,0.4,0.6,1.4
16,Kessler Edwards,23,54,0,5.1,0.6,1.5,.415,0.4,1.0,.385,0.3,0.6,.467,.537,0.1,0.2,.556,0.2,0.6,0.8,0.3,0.2,0.1,0.1,0.5,1.7
17,Juan Toscano-Anderson,30,11,0,4.8,0.3,1.1,.250,0.1,0.4,.250,0.2,0.7,.250,.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6
18,Jordan Ford,25,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
19,Filip Petrušev,23,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
20,Jalen Slawson,24,12,0,3.1,0.3,0.5,.667,0.0,0.2,.000,0.3,0.3,1.000,.667,0.0,0.0,,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.7,0.7
