Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paolo Banchero,21,80,80,35.0,8.0,17.6,.455,1.5,4.4,.339,6.5,13.2,.493,.497,5.1,7.0,.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6
2,Franz Wagner,22,72,72,32.5,7.3,15.2,.482,1.3,4.6,.281,6.0,10.6,.570,.525,3.8,4.4,.850,1.0,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7
3,Jalen Suggs,22,75,75,27.0,4.5,9.5,.471,2.0,5.1,.397,2.4,4.4,.556,.578,1.6,2.1,.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6
4,Wendell Carter Jr.,24,55,48,25.6,4.1,7.7,.525,1.2,3.1,.374,2.9,4.6,.626,.600,1.7,2.4,.694,2.0,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11.0
5,Gary Harris,29,54,27,24.0,2.4,5.5,.441,1.4,3.8,.371,1.0,1.7,.598,.569,0.6,0.8,.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9
6,Cole Anthony,23,81,0,22.4,4.1,9.4,.435,1.1,3.4,.338,3.0,6.0,.490,.496,2.2,2.7,.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6
7,Markelle Fultz,25,43,18,21.2,3.6,7.6,.472,0.1,0.4,.222,3.5,7.2,.487,.479,0.5,0.8,.697,1.3,1.9,3.2,2.8,1.0,0.3,1.2,1.5,7.8
8,Moritz Wagner,26,80,1,17.7,4.2,6.9,.601,0.5,1.4,.330,3.7,5.5,.673,.636,2.1,2.6,.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2.0,10.9
9,Joe Ingles,36,68,0,17.2,1.5,3.3,.436,1.0,2.4,.435,0.4,1.0,.439,.590,0.4,0.5,.824,0.3,1.8,2.1,3.0,0.6,0.1,1.0,1.3,4.4
10,Anthony Black,20,69,33,16.9,1.7,3.6,.466,0.5,1.4,.394,1.1,2.2,.510,.540,0.7,1.2,.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6
11,Jonathan Isaac,26,58,2,15.8,2.5,4.9,.510,0.7,1.9,.375,1.8,3.0,.598,.584,1.0,1.4,.720,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8
12,Goga Bitadze,24,62,33,15.4,2.0,3.4,.603,0.0,0.2,.143,2.0,3.1,.636,.608,0.9,1.4,.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5.0
13,Caleb Houstan,21,59,13,13.8,1.4,3.5,.388,1.2,3.3,.373,0.1,0.2,.615,.563,0.4,0.4,.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1.0,4.3
14,Trevelin Queen,26,14,0,11.8,1.0,2.7,.368,0.2,1.2,.176,0.8,1.5,.524,.408,0.6,0.9,.750,0.2,1.2,1.4,1.3,0.5,0.4,0.5,1.1,2.9
15,Chuma Okeke,25,47,8,9.2,0.9,2.4,.357,0.5,1.7,.280,0.4,0.6,.567,.460,0.1,0.1,.571,0.4,1.3,1.7,0.4,0.2,0.1,0.3,0.4,2.3
16,Jett Howard,20,18,0,3.7,0.6,1.7,.333,0.4,1.4,.280,0.2,0.3,.600,.450,0.1,0.2,.500,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6
17,Admiral Schofield,26,23,0,3.7,0.4,1.1,.385,0.3,0.7,.375,0.2,0.4,.400,.500,0.0,0.1,.000,0.1,0.6,0.7,0.3,0.0,0.0,0.2,0.4,1.1
18,Kevon Harris,26,2,0,3.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.5,2.0
