Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tyrese Haliburton,23,69,68,32.2,7.2,15.2,.477,2.8,7.8,.364,4.4,7.4,.595,.570,2.8,3.3,.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1
2,Pascal Siakam,29,41,41,31.8,8.7,15.8,.549,1.0,2.5,.386,7.7,13.3,.580,.579,3.0,4.2,.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3
3,Bruce Brown,27,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1
4,Aaron Nesmith,24,72,47,27.7,4.4,8.8,.496,1.9,4.6,.419,2.4,4.2,.581,.606,1.5,1.9,.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2
5,Myles Turner,27,77,77,27.0,6.2,11.8,.524,1.5,4.2,.358,4.7,7.6,.615,.587,3.2,4.1,.773,1.5,5.5,6.9,1.3,0.5,1.9,1.4,3.0,17.1
6,Bennedict Mathurin,21,59,19,26.1,5.0,11.2,.446,1.4,3.6,.374,3.7,7.6,.481,.507,3.1,3.8,.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5
7,Buddy Hield,31,52,28,25.7,4.4,9.9,.443,2.6,6.9,.384,1.8,3.1,.575,.575,0.5,0.6,.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2.0,12.0
8,Andrew Nembhard,24,68,47,25.0,3.8,7.7,.498,0.9,2.5,.357,2.9,5.2,.567,.557,0.7,0.8,.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2
9,Obi Toppin,25,82,28,21.1,4.0,7.1,.573,1.2,3.1,.403,2.8,4.0,.706,.661,0.9,1.2,.770,1.0,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3
10,T.J. McConnell,31,71,4,18.2,4.6,8.4,.556,0.3,0.6,.409,4.4,7.7,.568,.572,0.7,0.9,.790,0.5,2.2,2.7,5.5,1.0,0.1,1.5,1.1,10.2
11,Jalen Smith,23,61,14,17.2,3.8,6.5,.592,1.0,2.4,.424,2.8,4.1,.689,.670,1.2,1.7,.692,1.8,3.7,5.5,1.0,0.3,0.6,0.7,2.0,9.9
12,Ben Sheppard,22,57,1,14.3,1.6,4.0,.393,0.9,2.7,.314,0.7,1.3,.562,.500,0.4,0.5,.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4
13,Isaiah Jackson,22,59,3,13.1,2.6,3.9,.665,0.0,0.1,.000,2.6,3.9,.677,.665,1.2,1.7,.716,1.6,2.4,4.0,0.8,0.6,1.0,0.7,2.3,6.5
14,Doug McDermott,32,18,0,11.3,1.6,3.8,.406,1.0,3.1,.321,0.6,0.7,.769,.536,0.1,0.1,.500,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2
15,Jarace Walker,20,33,0,10.3,1.4,3.3,.409,0.7,1.7,.400,0.7,1.7,.418,.509,0.2,0.3,.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6
16,Jordan Nwora,25,18,0,10.2,2.1,4.6,.451,0.6,2.0,.306,1.4,2.6,.565,.518,0.5,0.6,.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2
17,Daniel Theis,31,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
18,Oscar Tshiebwe,24,8,0,5.3,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.8,1.0,.750,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3
19,James Johnson,36,9,0,5.2,0.3,1.1,.300,0.0,0.2,.000,0.3,0.9,.375,.300,0.2,0.2,1.000,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1.0,0.9
20,Kendall Brown,20,15,0,4.2,0.5,1.0,.533,0.0,0.1,.000,0.5,0.9,.615,.533,0.3,0.5,.625,0.2,0.1,0.3,0.3,0.0,0.0,0.1,0.6,1.4
21,Isaiah Wong,23,1,0,4.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
22,Quenton Jackson,25,3,0,3.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,1.3,1.3,0.7,0.3,0.0,0.0,0.3,0.7
