Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Scottie Barnes,22,60,60,34.9,7.5,15.7,.475,1.7,4.9,.341,5.8,10.8,.536,.528,3.3,4.2,.781,2.4,5.9,8.2,6.1,1.3,1.5,2.8,2.0,19.9
2,Pascal Siakam,29,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
3,RJ Barrett,23,32,32,33.5,8.5,15.4,.553,1.5,3.8,.392,7.0,11.6,.605,.601,3.3,5.2,.629,1.1,5.3,6.4,4.1,0.6,0.4,2.5,2.6,21.8
4,Immanuel Quickley,24,38,38,33.3,6.2,14.7,.422,2.8,7.1,.395,3.4,7.6,.448,.518,3.3,4.0,.841,0.3,4.5,4.8,6.8,0.9,0.2,1.8,2.0,18.6
5,OG Anunoby,26,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
6,Dennis Schröder,30,51,33,30.6,4.8,11.0,.442,1.5,4.3,.350,3.3,6.6,.501,.511,2.5,2.9,.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
7,Gary Trent Jr.,25,71,41,28.1,5.1,11.9,.426,2.5,6.4,.393,2.6,5.5,.464,.531,1.0,1.4,.771,0.4,2.3,2.6,1.7,1.1,0.1,0.7,1.4,13.7
8,Jakob Poeltl,28,50,50,26.4,5.0,7.6,.656,0.0,0.0,,5.0,7.6,.656,.656,1.2,2.1,.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3.0,11.1
9,Kelly Olynyk,32,28,19,26.4,4.7,8.5,.548,0.9,2.5,.338,3.8,6.0,.637,.598,2.5,3.0,.824,1.6,4.0,5.6,4.6,1.3,0.6,2.5,3.5,12.7
10,Bruce Brown,27,34,11,26.0,3.8,7.9,.481,0.6,1.9,.317,3.2,6.0,.532,.519,1.5,1.8,.833,0.8,3.0,3.8,2.7,0.7,0.3,1.3,2.0,9.6
11,Ochai Agbaji,23,27,18,23.6,2.7,6.8,.391,0.6,2.6,.217,2.1,4.3,.496,.432,0.8,1.3,.611,1.4,1.9,3.3,1.3,0.7,0.6,1.1,1.9,6.7
12,Gradey Dick,20,60,17,21.1,3.2,7.4,.425,1.5,4.0,.365,1.7,3.4,.495,.524,0.7,0.9,.863,0.5,1.8,2.2,1.1,0.6,0.0,0.8,1.5,8.5
13,Javon Freeman-Liberty,24,22,6,18.3,2.5,5.6,.444,0.5,1.9,.238,2.0,3.7,.549,.484,1.5,1.6,.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7.0
14,Precious Achiuwa,24,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
15,Jahmi'us Ramsey,22,7,1,17.3,2.6,5.9,.439,0.9,3.1,.273,1.7,2.7,.632,.512,0.7,0.9,.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7
