Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Fred VanVleet,29,73,73,36.8,5.8,13.9,.416,3.1,8.0,.387,2.7,5.9,.454,.527,2.7,3.1,.860,0.5,3.4,3.8,8.1,1.4,0.8,1.7,2.5,17.4
2,Alperen Sengun,21,63,63,32.5,8.4,15.6,.537,0.5,1.8,.297,7.8,13.8,.567,.553,3.9,5.6,.693,2.9,6.4,9.3,5.0,1.2,0.7,2.6,3.3,21.1
3,Jabari Smith Jr.,20,76,76,31.9,5.0,11.0,.454,1.8,5.0,.363,3.2,6.0,.530,.537,2.0,2.4,.811,1.8,6.3,8.1,1.6,0.7,0.8,1.2,2.6,13.7
4,Jalen Green,21,82,82,31.7,6.9,16.2,.423,2.5,7.4,.332,4.4,8.9,.498,.498,3.5,4.3,.804,0.5,4.7,5.2,3.5,0.8,0.3,2.3,1.4,19.6
5,Dillon Brooks,28,72,72,30.9,4.6,10.7,.428,1.8,5.1,.359,2.7,5.5,.492,.515,1.7,2.0,.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7
6,Amen Thompson,21,62,23,22.4,3.9,7.2,.536,0.1,0.9,.138,3.7,6.3,.595,.545,1.7,2.5,.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5
7,Tari Eason,22,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8
8,Cam Whitmore,19,47,2,18.7,4.5,9.9,.454,1.7,4.7,.359,2.8,5.3,.538,.539,1.6,2.4,.679,0.9,2.9,3.8,0.7,0.6,0.4,1.0,1.4,12.3
9,Jeff Green,37,78,6,16.8,2.1,4.7,.456,0.7,2.1,.331,1.5,2.6,.553,.529,1.6,1.9,.819,0.6,1.7,2.3,0.9,0.2,0.4,0.6,1.3,6.5
10,Aaron Holiday,27,78,1,16.3,2.4,5.3,.446,1.1,2.8,.387,1.3,2.6,.510,.547,0.7,0.8,.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6
11,Jae'Sean Tate,28,65,9,15.9,1.7,3.5,.472,0.4,1.2,.299,1.3,2.3,.559,.522,0.4,0.6,.667,0.9,2.1,3.0,1.0,0.6,0.2,0.6,2.1,4.1
12,Jock Landale,28,56,3,13.6,1.9,3.7,.515,0.2,0.7,.250,1.7,3.0,.578,.539,0.9,1.2,.800,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9
13,Reggie Bullock,32,44,0,9.5,0.8,1.9,.415,0.6,1.5,.403,0.2,0.3,.467,.579,0.0,0.0,1.000,0.1,1.5,1.7,0.3,0.3,0.1,0.2,0.7,2.2
14,Jeenathan Williams,24,22,0,5.9,1.2,2.3,.540,0.1,0.2,.400,1.1,2.0,.556,.560,0.3,0.6,.538,0.5,0.5,1.0,0.3,0.2,0.0,0.2,0.5,2.9
15,Boban Marjanović,35,14,0,5.1,1.3,2.4,.529,0.0,0.1,.000,1.3,2.3,.563,.529,0.6,1.0,.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,0.4,3.2
16,Nate Hinton,24,15,0,5.0,0.7,1.7,.423,0.5,0.9,.500,0.3,0.8,.333,.558,0.3,0.3,.800,0.5,1.0,1.5,0.7,0.2,0.1,0.2,0.7,2.2
17,Jermaine Samuels,25,14,0,4.3,0.6,1.0,.643,0.0,0.1,.000,0.6,0.9,.750,.643,0.1,0.1,1.000,0.2,0.7,0.9,0.2,0.1,0.1,0.0,0.4,1.4
