Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Kuzma,28,70,70,32.6,8.7,18.8,.463,2.2,6.4,.336,6.5,12.3,.530,.521,2.7,3.4,.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2
2,Jordan Poole,24,78,66,30.1,6.3,15.2,.413,2.4,7.2,.326,3.9,8.0,.492,.491,2.5,2.8,.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4
3,Deni Avdija,23,75,75,30.1,5.4,10.7,.506,1.2,3.1,.374,4.2,7.6,.560,.560,2.7,3.6,.740,1.1,6.1,7.2,3.8,0.8,0.5,2.1,2.5,14.7
4,Tyus Jones,27,66,66,29.3,4.9,10.1,.489,1.6,3.9,.414,3.3,6.2,.537,.569,0.5,0.6,.800,0.3,2.4,2.7,7.3,1.1,0.3,1.0,0.7,12.0
5,Bilal Coulibaly,19,63,15,27.2,3.0,6.9,.435,1.0,2.9,.346,2.0,3.9,.502,.509,1.5,2.1,.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4
6,Daniel Gafford,25,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9
7,Corey Kispert,24,80,22,25.8,4.8,9.9,.486,2.3,6.0,.383,2.5,3.9,.643,.602,1.4,2.0,.726,0.4,2.4,2.8,2.0,0.5,0.2,1.2,1.8,13.4
8,Marvin Bagley III,24,24,15,24.0,5.5,9.5,.581,0.3,0.7,.471,5.2,8.8,.590,.599,1.9,2.7,.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3
9,Richaun Holmes,30,17,8,18.7,2.9,5.2,.557,0.1,0.2,.333,2.8,5.0,.565,.563,1.3,1.5,.846,2.2,3.9,6.1,0.6,0.5,0.6,0.7,2.4,7.1
10,Landry Shamet,26,46,5,15.8,2.6,6.0,.431,1.2,3.4,.338,1.4,2.5,.556,.527,0.8,1.0,.826,0.3,1.0,1.3,1.2,0.5,0.2,0.7,1.7,7.1
11,Justin Champagnie,22,15,1,15.7,2.1,5.2,.410,0.9,3.0,.289,1.3,2.2,.576,.494,0.8,1.0,.800,1.3,2.3,3.5,1.3,0.7,0.6,0.7,0.9,5.9
12,Tristan Vukcevic,20,10,4,15.3,2.9,6.7,.433,1.0,3.6,.278,1.9,3.1,.613,.507,1.7,2.2,.773,0.6,3.0,3.6,1.3,0.5,0.7,1.0,2.8,8.5
13,Danilo Gallinari,35,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0
14,Jared Butler,23,40,0,14.2,2.5,5.0,.488,0.6,2.0,.308,1.9,3.1,.602,.547,0.8,0.9,.861,0.2,1.2,1.5,3.2,0.7,0.2,1.3,1.5,6.3
15,Mike Muscala,32,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0
16,Delon Wright,31,33,0,13.8,1.5,3.7,.393,0.4,1.2,.368,1.0,2.5,.405,.451,0.7,0.9,.828,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.1
17,Patrick Baldwin Jr.,21,38,7,13.0,1.6,4.1,.381,0.8,2.6,.320,0.7,1.5,.483,.481,0.5,0.7,.679,0.4,2.8,3.2,0.8,0.5,0.4,0.5,1.5,4.4
18,Johnny Davis,21,50,6,12.3,1.2,3.1,.403,0.3,0.8,.350,1.0,2.3,.421,.448,0.3,0.5,.583,0.4,1.1,1.4,0.6,0.4,0.2,0.3,1.1,3.0
19,Anthony Gill,31,50,3,9.3,1.5,3.2,.469,0.2,0.8,.244,1.3,2.4,.546,.500,0.6,0.7,.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1.0,3.8
20,Eugene Omoruyi,26,43,0,9.1,1.9,3.9,.485,0.3,1.1,.283,1.6,2.8,.562,.524,0.7,1.1,.653,0.8,1.2,2.0,0.8,0.6,0.1,0.5,1.4,4.8
21,Jules Bernard,24,19,0,7.8,1.5,3.4,.453,0.6,1.5,.379,0.9,1.8,.514,.539,0.3,0.5,.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,0.7,3.9
22,Ryan Rollins,21,10,0,6.6,1.3,2.5,.520,0.2,0.3,.667,1.1,2.2,.500,.560,1.3,1.7,.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1
23,Hamidou Diallo,25,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0
24,Trey Jemison,24,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
